"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-04-06"
"177","Blanka","PNL","704461","https://open.spotify.com/track/295SxdR1DqunCNwd0U767w","2019-04-06"
"178","I Fall Apart","Post Malone","704133","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2019-04-06"
"179","Te Boté - Remix","Nio Garcia","699347","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2019-04-06"
"180","Kick It","BLACKPINK","697498","https://open.spotify.com/track/5R0cvR5BMFkLomChhmcCzr","2019-04-06"
"181","Ela É do Tipo","MC Kevin o Chris","696922","https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP","2019-04-06"
"182","Africa","Toto","695394","https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX","2019-04-06"
"183","Money","Cardi B","694731","https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e","2019-04-06"
"184","Bluffin'","Khalid","694386","https://open.spotify.com/track/42w7pX3r1TpLR0i55Ek5ND","2019-04-06"
"185","Sola","Manuel Turizo","688957","https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN","2019-04-06"
"186","i","Lil Skies","685245","https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT","2019-04-06"
"187","Pa Olvidarte (feat. Manuel Turizo) - Remix","ChocQuibTown","685216","https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX","2019-04-06"
"188","Hasta la vista","PNL","684220","https://open.spotify.com/track/6YHnhfw8yMCx4vZvsgem3D","2019-04-06"
"189","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","682615","https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh","2019-04-06"
"190","Blackberry Sky","Eno","681471","https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j","2019-04-06"
"191","New Rules","Dua Lipa","679090","https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O","2019-04-06"
"192","Contando Lunares (feat. Cruz Cafuné)","Don Patricio","678263","https://open.spotify.com/track/6Cs7b9bu3fy5XhMwBA9Tz4","2019-04-06"
"193","NI BIEN NI MAL","Bad Bunny","677536","https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8","2019-04-06"
"194","Splashin","Rich The Kid","674898","https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO","2019-04-06"
"195","Vaina Loca","Ozuna","673152","https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA","2019-04-06"
"196","changes","XXXTENTACION","672489","https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO","2019-04-06"
"197","Closer","The Chainsmokers","672133","https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw","2019-04-06"
"198","Insomnia","Daya","670540","https://open.spotify.com/track/7hzlzoOwCZ4D3Ow5YZK4kj","2019-04-06"
"199","Que Le De","Rauw Alejandro","669000","https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ","2019-04-06"
"200","Undrunk","FLETCHER","665410","https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d","2019-04-06"
